DateTime,Experiment,Iteration,RequestedAngle,RequestedSpeed,voltage,Correction,Deceleration,GyroStartAngle,GyroEndAngle,ActualStartAngle,ActualEndAngle,GyroError,ActualError,StartFoundRobot,EndFoundRobot
2023-08-15 19:17:46.503446,1,0,300,600,8186,0.01,500,0.0,-52.31467,84.69267315066882,32.22335523074788,52.31467,52.46931791992095,True,True

2023-08-15 19:25:33.989734,0,0,180,400,8174,0,400,0.0,-174.6321,31.974159353129178,216.09325581622025,174.6321,184.11909646309107,True,True

2023-08-15 19:25:43.149980,1,0,90,600,8174,-0.01,300,0.0,85.27271,216.09325581622025,302.7176724186393,85.27271,86.62441660241907,True,True

2023-08-15 19:25:52.329305,2,0,120,600,8172,0.01,300,0.0,113.3466,302.7176724186393,55.4914770123316,113.3466,247.22619540630774,True,True

2023-08-15 19:26:02.044513,2,1,120,600,8172,0.01,300,0.0,112.5222,55.4914770123316,168.44677480771495,112.5222,112.95529779538334,True,True

2023-08-15 19:26:11.403125,2,2,120,600,8171,0.01,300,0.0,113.8831,168.44677480771495,280.4138254709892,113.8831,111.96705066327425,True,True

2023-08-15 19:26:20.526579,2,3,120,600,8171,0.01,300,0.0,113.5924,280.4138254709892,33.44451568858067,113.5924,246.96930978240852,True,True

2023-08-15 19:26:29.775206,3,0,60,500,8169,-0.01,200,0.0,55.51215,33.19756579221645,89.683451952727,55.51215,56.485886160510546,True,True

2023-08-15 19:26:38.696233,3,1,60,500,8169,-0.01,200,0.0,55.59702,89.683451952727,145.13221156580477,55.59702,55.44875961307777,True,True

2023-08-15 19:26:48.431653,4,0,210,600,8169,0.02,400,0.0,-139.6049,145.13221156580477,-0.0,139.6049,145.13221156580477,True,True

2023-08-15 19:26:57.546968,5,0,240,200,8168,-0.02,300,0.0,-119.3406,-0.0,246.28381054863286,119.3406,246.28381054863286,True,True

2023-08-15 19:27:07.167470,5,1,240,200,8167,-0.02,300,0.0,-118.1844,246.40517943011855,129.88268515002736,118.1844,116.5224942800912,True,True

2023-08-15 19:27:16.862958,6,0,150,500,8166,-0.02,200,0.0,149.4313,129.45879522196014,277.04917816749526,149.4313,147.5903829455351,True,True

2023-08-15 19:27:26.363340,7,0,150,400,8166,0.03,200,0.0,140.91,277.04917816749526,58.12040315297727,140.91,218.92877501451798,True,True

2023-08-15 19:27:35.883675,7,1,150,400,8165,0.03,200,0.0,141.438,58.781597235653635,195.52411099675425,141.438,136.7425137611006,True,True

2023-08-15 19:27:45.010792,8,0,120,800,8165,0.01,500,0.0,113.9147,180.0,312.95459151111277,113.9147,132.95459151111277,True,True

2023-08-15 19:27:54.068176,8,1,120,800,8163,0.01,500,0.0,113.7593,312.95459151111277,65.43282867939868,113.7593,247.52176283171408,True,True

2023-08-15 19:28:03.667759,9,0,180,500,8163,0,400,0.0,-175.1108,65.70422362934201,250.2239233973608,175.1108,184.5196997680188,True,True

2023-08-15 19:28:13.204794,10,0,240,200,8163,0,200,0.0,-115.6702,250.50946949202458,136.2730300200567,115.6702,114.23643947196788,True,True

2023-08-15 19:28:22.866464,10,1,240,200,8162,0,200,0.0,-115.5575,136.2730300200567,11.668774000368952,115.5575,124.60425601968774,True,True

2023-08-15 19:28:32.832185,10,2,240,200,8162,0,200,0.0,-115.8329,11.967102376584965,265.6723517968918,115.8329,253.70524942030684,True,True

2023-08-15 19:28:42.485042,10,3,240,200,8162,0,200,0.0,-115.612,265.6723517968918,150.44359098218763,115.612,115.22876081470417,True,True

2023-08-15 19:28:51.179304,11,0,300,400,8161,-0.02,500,0.0,-61.60224,150.44359098218763,89.683451952727,61.60224,60.76013902946063,True,True

2023-08-15 19:28:59.910274,11,1,300,400,8160,-0.02,500,0.0,-63.51756,89.683451952727,180.0,63.51756,90.316548047273,True,True

2023-08-15 19:29:08.949301,11,2,300,400,8160,-0.02,500,0.0,-62.61163,180.0,324.1228962053785,62.61163,144.12289620537848,True,True

2023-08-15 19:29:18.060882,11,3,300,400,8159,-0.02,500,0.0,-62.6157,323.8870147555428,261.13813559360244,62.6157,62.74887916194035,True,True

2023-08-15 19:29:27.366024,12,0,90,700,8159,0.01,200,0.0,84.2238,261.13813559360244,345.45479725882564,84.2238,84.3166616652232,True,True

2023-08-15 19:30:03.508981,0,0,150,500,8157,0.03,400,0.0,140.124,345.3791260113683,125.18874313200395,140.124,220.1903828793644,True,True

2023-08-15 19:30:13.263532,0,1,150,500,8157,0.03,400,0.0,140.8062,125.36246188706905,265.3893506813394,140.8062,140.02688879427035,True,True

2023-08-15 19:30:22.570714,1,0,180,400,8155,0.02,400,0.0,-170.2388,265.3893506813394,94.71153094610156,170.2388,170.67781973523785,True,True

2023-08-15 19:30:31.028354,2,0,330,200,8154,0.03,500,0.0,-14.8341,94.6858998395027,79.83222451258862,14.8341,14.853675326914072,True,True

2023-08-15 19:30:40.029236,3,0,270,800,8155,-0.02,300,0.0,-90.79627,79.88604785420829,-0.0,90.79627,79.88604785420829,True,True

2023-08-15 19:30:49.452326,4,0,180,500,8155,0.02,400,0.0,-171.3415,358.7546357332317,180.0,171.3415,178.75463573323168,True,True

2023-08-15 19:30:58.945379,4,1,180,500,8154,0.02,400,0.0,-170.4209,180.0,1.8676788394341723,170.4209,178.13232116056582,True,True

2023-08-15 19:31:08.351771,4,2,180,500,8154,0.02,400,0.0,-170.9966,2.489552921999156,193.9617366444972,170.9966,191.47218372249804,True,True

